检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|14:44:38.000,20260316,14:44:38.000,,AG,AG2604,63878000,61632,61632,63878000,visible_execution_drop,20373.0,0.7413,5,"AG2606,AG2608,AG2605,AG2610,AG2612",20,294,289.5,20310.0,20347.313725490196,63.0,30.923280812840524,25.686274509804207,12.607998090514018,,,44.0128,42.69299999999581,61.0,51.0,15565695.0,51.0,19650.00000000022,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|21:55:07.000,20260316,21:55:07.000,,AG,AG2605,3307000,6523,6523,3307000,visible_execution_drop,21235.25,2.59455,4,"AG2606,AG2604,AG2610,AG2612",20,168,290.0,21203.0,21203.0,32.25,15.187012161382606,32.25,15.187012161382606,,,29.651999999999997,29.651999999999997,32.25,1.0,318045.0,1.0,483.75,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:11:05.000,20260316,23:11:05.000,,AG,AG2605,7864500,15402,15402,7865000,visible_execution_drop,20814.5,1.4826,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,240,290.0,20759.0,20787.153846153848,55.5,26.6641043503327,27.346153846152447,13.138030625838933,,,37.2074,35.91710769230853,37.25,13.0,4053495.0,23.0,5332.499999999727,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:11:08.500,20260316,23:11:08.500,23:11:09.500,AG,AG2605,7868500,15409,15409,7868500,visible_execution_drop,20815.0,2.2239,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,239,290.0,20774.0,20777.7,41.0,19.69733365361518,37.29999999999927,17.91976939706907,20788.190476190477,26.809523809522943,37.0824,34.3672,23.25,10.0,3116655.0,10.0,5594.999999999891,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:11:26.500,20260316,23:11:26.500,,AG,AG2605,7886500,15445,15445,7886500,visible_execution_drop,20810.0,5.9304,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,253,290.0,20767.0,20789.605263157897,43.0,20.663142719846228,20.394736842103157,9.800450188420546,,,37.5824,40.797599999999996,27.5,38.0,11850075.0,38.0,11624.9999999988,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|00:43:59.000,20260316,00:43:59.000,,AG,AG2605,13439000,26177,26177,13439000,visible_execution_drop,20539.0,2.9652,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,128,290.0,20506.0,20526.1,33.0,16.06699449827158,12.900000000001455,6.280734212961418,,,28.151999999999997,28.151999999999997,33.0,10.0,3078915.0,10.0,1935.0000000002183,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|02:27:50.000,20260316,02:27:50.000,,AG,AG2605,19670000,38132,38132,19670000,visible_execution_drop,20716.25,1.8532499999999998,4,"AG2606,AG2608,AG2604,AG2612",20,116,290.0,20683.0,20697.9,33.25,16.050202136004344,18.349999999998545,8.857780727688914,,,30.617199999999997,31.303280000004314,33.25,10.0,3104685.0,10.0,2752.4999999997817,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|09:14:55.000,20260316,09:14:55.000,,AG,AG2605,44095000,40172,40172,44095000,visible_execution_drop,19940.5,0.7413,5,"AG2606,AG2608,AG2604,AG2610,AG2612",20,347,290.0,19863.0,19892.280000000002,77.5,38.86562523507435,48.219999999997526,24.18194127529276,,,62.303999999999995,56.93418181814124,67.5,25.0,7459605.0,25.0,18082.499999999072,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|21:29:30.500,20260316,21:29:30.500,21:29:31.500,AG,AG2606,1770500,3540,3540,1771000,"visible_execution_drop,interval_execution_drop",21284.0,1.4826,5,"AG2608,AG2604,AG2605,AG2610,AG2612",20,547,290.0,21250.0,21262.675496688742,34.0,15.974440894568689,21.324503311258013,10.019029933874277,21251.38492063492,32.61507936508133,24.7216,20.0,32.88333333333321,151.0,48159960.0,373.0,48299.9999999994,trade_recovered_3s,1.0,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|22:12:25.500,20260316,22:12:25.500,,AG,AG2606,4345500,8690,8690,4346000,visible_execution_drop,21076.5,0.7413,5,"AG2608,AG2604,AG2605,AG2610,AG2612",20,558,290.0,21030.0,21056.782222222224,46.5,22.06248665575404,19.717777777776064,9.355337830178664,,,25.7216,25.35552857142753,46.5,225.0,71066640.0,386.0,66547.49999999421,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|22:58:45.000,20260316,22:58:45.000,22:58:46.000,AG,AG2606,7125000,14249,14249,7125000,interval_execution_drop,20652.75,6.6716999999999995,4,"AG2608,AG2604,AG2610,AG2612",20,560,290.0,20649.0,20624.38053097345,3.75,1.8157388241275374,28.369469026551087,13.736412355037992,20609.483870967742,43.266129032257595,31.651999999999997,24.653988170423663,25.268278550360264,113.0,34958325.0,113.0,48086.25000000409,trade_recovered_3s,,2.0,1.0,
