检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|13:34:25.500,20260407,13:34:25.500,,AG,AG2605,59665500,16340,16340,59665500,visible_execution_drop,17948.0,1.4826,5,"AG2606,AG2608,AG2610,AG2612,AG2607",20,163,255.0,17922.0,17938.066666666666,26.0,14.486293737463784,9.933333333334303,5.534507094570037,,,20.5064,20.5064,25.900000000001455,26.0,14.486293737463784,detector_event_depth,15.0,4036065.0,15.0,2235.0000000002183,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|09:16:25.500,20260407,09:16:25.500,,AG,AG2610,44185500,1970,1970,44185500,visible_execution_drop,17913.0,1.4826,5,"AG2606,AG2608,AG2605,AG2612,AG2607",20,242,290.0,17876.0,17883.17142857143,37.0,20.655389940266843,29.828571428570285,16.651912816708695,,,27.1868,29.163599999992808,36.5,37.0,20.655389940266843,detector_event_depth,35.0,9388665.0,35.0,15659.9999999994,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|09:28:42.608,20260407,09:28:42.608,09:28:43.608,EG,EG2609,44921608,3415,3415,44922608,"visible_execution_drop,interval_execution_drop",5129.0,8.1543,3,"EG2605,EG2606,EG2701",20,391,289.509,5102.0,5101.0,27.0,52.641840514720215,28.0,54.591538311561706,5098.75,30.25,20.7912,20.7912,13.386363636363512,30.25,58.97835835445506,detector_event_depth,6.0,306060.0,23.0,1680.0,trade_recovered_10s,3.0,4.0,3.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|13:35:04.784,20260407,13:35:04.784,13:35:05.784,EG,EG2609,59704784,16470,16470,59704784,interval_execution_drop,5376.75,3.33585,4,"EG2605,EG2607,EG2606,EG2608",20,432,289.512,5379.0,5331.295774647888,-2.25,-4.1846840563537455,45.45422535211219,84.53847649995292,5349.269565217392,27.480434782608427,20.0,20.0,45.45422535211219,27.480434782608427,51.109749909533505,detector_event_depth,71.0,3785220.0,71.0,32272.499999999654,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|13:54:07.318,20260407,13:54:07.318,13:54:08.318,EG,EG2609,60847318,18733,18733,60847318,interval_execution_drop,5434.75,0.37065,2,"EG2607,EG2608",20,284,289.502,5428.0,5392.857142857143,6.75,12.420074520447123,41.89285714285688,77.08331964277451,5408.846153846154,25.903846153845738,20.0,20.0,35.01785714285688,25.903846153845738,47.66336290325357,detector_event_depth,7.0,377500.0,7.0,2932.499999999982,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|13:54:43.818,20260407,13:54:43.818,13:54:44.818,EG,EG2609,60883818,18801,18801,60883818,interval_execution_drop,5434.75,4.07715,2,"EG2607,EG2608",20,337,290.0,5436.0,5392.363636363636,-1.25,-2.3000138000828003,42.38636363636397,77.99137703917194,5409.710526315789,25.03947368421086,20.0,20.867599999995377,30.574712052653467,25.03947368421086,46.07290801639608,detector_event_depth,22.0,1186320.0,22.0,9325.000000000073,trade_recovered_3s,,3.0,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|13:55:14.818,20260407,13:55:14.818,13:55:15.818,EG,EG2609,60914818,18863,18863,60914818,interval_execution_drop,5429.0,2.9652,2,"EG2607,EG2608",20,382,290.0,5422.0,5392.0,7.0,12.893718916927613,37.0,68.1525142751888,5403.888888888889,25.111111111111313,20.0,20.881253530031728,29.25,25.111111111111313,46.253658336915294,detector_event_depth,11.0,593120.0,11.0,4070.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|14:16:06.335,20260407,14:16:06.335,14:16:07.335,EG,EG2609,62166335,21283,21283,62166335,interval_execution_drop,5428.875,0.555975,2,"EG2607,EG2608",20,402,289.508,5432.0,5381.0,-3.125,-5.756257051414888,47.875,88.18585802767608,5391.088888888889,37.786111111110586,27.276999999999997,28.83808000000431,47.875,37.786111111110586,69.60210192924056,detector_event_depth,36.0,1937160.0,36.0,17235.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|14:16:29.835,20260407,14:16:29.835,14:16:30.835,EG,EG2609,62189835,21329,21329,62189835,interval_execution_drop,5426.5,1.4826,2,"EG2607,EG2608",20,405,289.508,5426.0,5398.0,0.5,0.9214042200313278,28.5,52.52004054178568,5401.35294117647,25.147058823529733,21.2216,22.407680000004312,26.75,25.147058823529733,46.34121224275267,detector_event_depth,15.0,809700.0,15.0,4275.0,quote_only_recovered_3s,,3.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|14:22:37.839,20260407,14:22:37.839,14:22:38.839,EG,EG2609,62557839,22005,22005,62557839,interval_execution_drop,5431.0,3.7065,3,"EG2607,EG2606,EG2608",20,277,289.503,5434.0,5390.3,-3.0,-5.523844595838703,40.69999999999982,74.94015835021142,5399.6274509803925,31.372549019607504,20.0,20.0,40.69999999999982,31.372549019607504,57.76569511988125,detector_event_depth,40.0,2156120.0,40.0,16279.999999999927,quote_only_recovered_3s,,6.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|14:23:43.340,20260407,14:23:43.340,14:23:44.340,EG,EG2609,62623340,22109,22109,62623340,interval_execution_drop,5431.75,1.11195,2,"EG2607,EG2608",20,233,289.504,5429.0,5402.538461538462,2.75,5.0628250563814605,29.21153846153811,53.77923958491851,5406.2,25.550000000000185,20.2216,23.1868,27.71153846153811,25.550000000000185,47.03824734201718,detector_event_depth,13.0,702330.0,13.0,3797.4999999999545,trade_recovered_3s,,1.5,0.5,
